IND,POP,TEMP,SIDE,Wing,Spot,Ratio
So13,SOKOL,28,G,1172232.5,55232.5,0.04711735939755978
So17,SOKOL,28,D,1135518.0,54968.0,0.04840786319547555
So17,SOKOL,28,G,1152099.0,50339.0,0.043693293718682163
So21,SOKOL,28,D,1173867.5,50348.5,0.04289112697983376
So21,SOKOL,28,G,1173704.0,39147.5,0.033353809819170764
So23,SOKOL,28,D,1186849.0,46605.0,0.039267842834261144
So23,SOKOL,28,G,1193612.5,11304.0,0.009470410204316727
So24,SOKOL,28,D,1149355.0,40928.0,0.03560953752321955
So24,SOKOL,28,G,1145988.0,29902.0,0.026092768859708827
So27,SOKOL,28,D,1195345.5,47278.5,0.03955216295205027
So27,SOKOL,28,G,1199157.5,43549.0,0.03631633042365161
So28,SOKOL,28,D,1156526.5,57148.5,0.04941391312693656
So28,SOKOL,28,G,1149630.5,48802.0,0.042450161160477215
So29,SOKOL,28,D,1156125.5,53743.0,0.04648543778335484
So29,SOKOL,28,G,1159675.0,49056.0,0.042301506887705606
So38,SOKOL,28,D,1213770.0,49410.5,0.04070828904981998
So38,SOKOL,28,G,1222796.5,43233.5,0.03535625101969134
So42,SOKOL,28,D,1089420.5,64395.5,0.059109866208686176
So42,SOKOL,28,G,1078503.0,53302.5,0.049422671981440944
So43,SOKOL,28,D,1195382.0,37440.0,0.031320531846723475
So43,SOKOL,28,G,1195645.0,39202.5,0.03278774218099854
