IND,POP,TEMP,SIDE,Wing,Spot,Ratio
S29,SAPPORO,28,G,1156367.5,50449.0,0.043627134107452864
S33,SAPPORO,28,D,1255600.5,30295.0,0.02412789736862959
S35,SAPPORO,28,D,1108490.0,33661.0,0.03036653465525174
S35,SAPPORO,28,G,1101289.0,41361.5,0.03755735324696787
S36,SAPPORO,28,D,1296687.0,65333.5,0.05038494254974408
S36,SAPPORO,28,G,1286585.0,61879.5,0.048095928368510434
S37,SAPPORO,28,D,1140740.5,35746.5,0.03133622414563172
S37,SAPPORO,28,G,1128692.0,42687.5,0.03782032653726614
S40,SAPPORO,28,D,1180442.0,53242.5,0.04510386787322037
S40,SAPPORO,28,G,1158736.5,47773.5,0.04122895930179122
S42,SAPPORO,28,D,1217808.0,53649.0,0.04405374246186591
S42,SAPPORO,28,G,1210141.5,57501.5,0.04751634416305862
S44,SAPPORO,28,D,1306744.5,54378.5,0.04161372020314606
S44,SAPPORO,28,G,1307902.5,46854.0,0.035823771267353643
So05,SOKOL,16,D,2077301.5,79154.0,0.03810424245108377
So05,SOKOL,16,G,2076956.5,89579.0,0.04312993555714816
So06,SOKOL,16,D,2042216.0,103714.5,0.05078527442738672
So06,SOKOL,16,G,2059399.5,97551.0,0.04736866256401441
So07,SOKOL,16,G,1953638.5,83652.5,0.0428188224177605
So13,SOKOL,16,D,2205156.0,115191.5,0.05223734738041209
So13,SOKOL,16,G,2194762.0,108994.5,0.0496611933321244
So17,SOKOL,16,D,2086204.0,115654.5,0.05543777118632694
So23,SOKOL,16,D,1874379.0,91141.5,0.04862490456839305
So23,SOKOL,16,G,1875419.5,84077.5,0.04483130307645836
So24,SOKOL,16,D,2143174.5,104721.5,0.048862796753134194
So24,SOKOL,16,G,2124460.0,95740.5,0.045065804957495084
So27,SOKOL,16,D,2133885.5,101141.5,0.04739781023864682
So27,SOKOL,16,G,2068068.0,95248.0,0.04605651264852026
So28,SOKOL,16,D,2160648.0,100312.0,0.04642681269693166
So28,SOKOL,16,G,2131393.5,97890.5,0.045927934001863104
So29,SOKOL,16,D,2022205.0,92460.5,0.04572261467061945
So29,SOKOL,16,G,2026549.0,92956.0,0.04586911049276381
So31,SOKOL,16,D,2254609.5,102498.0,0.04546153114319797
So31,SOKOL,16,G,2251012.5,80580.5,0.035797446704538514
So42,SOKOL,16,D,2063522.0,99909.5,0.04841697835060639
So42,SOKOL,16,G,2079969.5,94296.0,0.0453352801567523
So05,SOKOL,28,D,1149823.5,50428.0,0.043857165904158335
So05,SOKOL,28,G,1154564.5,38945.5,0.03373176639330241
So06,SOKOL,28,D,1274765.5,88481.5,0.06941002090188353
So08,SOKOL,28,D,1215771.0,34216.5,0.028143869199051465
So08,SOKOL,28,G,1216309.5,24421.0,0.020077948910207477
So11,SOKOL,28,D,1252304.0,48268.0,0.038543356884590325
So11,SOKOL,28,G,1247871.5,44031.5,0.035285283781222664
So13,SOKOL,28,D,1175454.5,51470.5,0.04378774337926308
So13,SOKOL,28,G,1185202.0,55424.5,0.0467637584141775
So17,SOKOL,28,D,1136309.5,54968.0,0.04837414454424609
So17,SOKOL,28,G,1153349.0,50339.0,0.04364593891354655
So21,SOKOL,28,D,1153680.5,50087.5,0.043415399670879415
So21,SOKOL,28,G,1162338.0,38993.5,0.03354747070129343
So23,SOKOL,28,D,1191724.0,46605.0,0.03910720938740849
So23,SOKOL,28,G,1199691.5,11381.5,0.009487022288646707
So24,SOKOL,28,D,1149353.0,40928.0,0.03560959948771178
So24,SOKOL,28,G,1145942.0,29902.0,0.026093816266442804
So26,SOKOL,28,D,1182073.5,66305.0,0.056092112715495274
So27,SOKOL,28,D,1185439.5,47181.5,0.039800850233183555
So27,SOKOL,28,G,1199010.0,47475.5,0.03959558302266036
So28,SOKOL,28,D,1156934.0,57148.5,0.04939650835743439
So28,SOKOL,28,G,1160181.5,48869.5,0.04212228862466778
So29,SOKOL,28,D,1155886.5,53743.0,0.04649504947068765
So29,SOKOL,28,G,1160013.0,52357.0,0.045134839006114584
So37,SOKOL,28,G,1235671.0,57398.0,0.046450875678072885
So38,SOKOL,28,D,1218599.5,46011.5,0.0377576882314493
So38,SOKOL,28,G,1222414.5,43233.5,0.03536729971707633
So42,SOKOL,28,D,1090005.0,60281.5,0.055303874752868104
So42,SOKOL,28,G,1090012.0,53514.0,0.04909487235002918
So43,SOKOL,28,D,1195010.0,38145.5,0.03192065338365369
So43,SOKOL,28,G,1194816.0,39202.5,0.032810491322513256
So01,SOKOL,22,D,1380618.0,70138.0,0.05080188727077294
So01,SOKOL,22,G,1390373.0,69828.0,0.05022249425154257
So05,SOKOL,22,D,1412352.0,72828.5,0.05156540295903571
So05,SOKOL,22,G,1406402.0,60324.5,0.04289278598864336
So06,SOKOL,22,D,1589032.0,86695.0,0.054558372644477895
So06,SOKOL,22,G,1625336.5,69572.5,0.04280498222983364
So07,SOKOL,22,D,1307704.0,54448.5,0.04163671595406911
So07,SOKOL,22,G,1307931.0,58200.5,0.04449814248610974
So08,SOKOL,22,D,1541658.0,83928.0,0.05444008982536983
So08,SOKOL,22,G,1541919.0,80937.5,0.052491408433257516
So13,SOKOL,22,D,1343878.0,68120.5,0.050689497112089046
So13,SOKOL,22,G,1427406.5,65956.0,0.04620687939980657
So17,SOKOL,22,G,1476438.5,66428.5,0.0449923921653357
So23,SOKOL,22,D,1504887.0,72978.5,0.04849433877759592
So23,SOKOL,22,G,1511991.0,63405.5,0.041935104111069446
So24,SOKOL,22,D,1517182.5,65381.5,0.04309402461470522
So24,SOKOL,22,G,1537041.5,63153.0,0.04108737467400848
So26,SOKOL,22,D,1525690.0,62852.0,0.04119578682432211
So27,SOKOL,22,G,1563322.0,66686.5,0.042656919048027216
So29,SOKOL,22,D,1638226.5,86532.5,0.052820840097507885
So29,SOKOL,22,G,1610549.0,75765.0,0.047042964852357795
So38,SOKOL,22,D,1424940.0,68936.5,0.048378528218732016
So38,SOKOL,22,G,1407422.5,63110.5,0.04484119018986836
So42,SOKOL,22,G,1544692.0,74472.5,0.04821187654237868
So43,SOKOL,22,D,1726124.0,72609.5,0.04206505442250962
So43,SOKOL,22,G,1724446.5,79559.5,0.04613625299480152
