L06G_22,2167,1030,2222,1463
L06D_22,513,897,377,1302
L01G_22,2086,1148,2117,1524
L01D_22,487,823,410,1197
L37G_22,2122,645,2227,1057
L28G_28,1862,1055,1771,1427
L28D_28,806,859,865,1247
L14G_28,2152,866,2237,1248
L14D_28,601,901,558,1296
L11G_28,2181,745,2279,1122
L11D_28,690,610,582,985
L09G_28,2107,254,2265,620
L08G_28,1836,727,1932,1066
L08D_28,711,887,592,1140
L05G_28,1771,998,1858,1352
L05D_28,722,989,657,1362
L37G_28,1922,1298,1930,1650
L37D_28,654,1057,546,1407
L31G_28,1792,664,1902,1028
L31D_28,792,914,713,1296
S08D_28,416,890,363,1251
S05G_28,2057,983,2043,1364
S05D_28,686,1072,698,1445
S40G_28,2010,1222,1926,1600
S40D_28,585,1172,591,1514
S36G_28,2128,1024,2098,1427
S36D_28,532,1030,518,1436
S35G_28,1947,1327,1804,1670
S35D_28,719,778,652,1134
S29G_28,2080,878,2086,1241
S29D_28,810,903,746,1260
S28G_28,2222,863,2253,1230
S28D_28,645,843,547,1202
S24G_28,2166,1373,2079,1739
S24D_28,583,794,492,1162
S17G_28,1986,825,2030,1166
S17D_28,660,940,657,1289
S08G_28,1960,1192,1911,1545
S05G_22,2121,935,2148,1354
S05D_22,566,807,544,1227
S42G_22,2141,1035,2160,1458
S42D_22,552,956,509,1375
S40G_22,2026,890,2079,1302
S36G_22,2075,1216,2031,1647
S36D_22,501,917,452,1339
S29G_22,2140,889,2235,1295
S29D_22,330,837,270,1243
S24G_22,2157,893,2146,1295
S24D_22,569,828,514,1214
S17G_22,2128,977,2154,1375
S17D_22,553,986,500,1368
S07D_16,398,1110,401,1572
S05G_16,2268,1243,2183,1701
S05D_16,233,920,198,1410
S44G_16,2355,735,2414,1194
S44D_16,360,1045,402,1503
S37G_16,2294,1156,2213,1592
S37D_16,396,1067,458,1523
S35G_16,2313,1070,2235,1544
S35D_16,334,1147,450,1633
S24G_16,2344,1016,2337,1467
S24D_16,347,855,274,1292
S20G_16,2203,1321,2076,1762
S20D_16,507,1291,620,1739
S07G_16,2272,1111,2277,1566
So43D_28,754,1072,769,1462
So42G_28,2003,1011,2032,1369
So42D_28,571,1020,502,1375
So38G_28,2111,984,2102,1370
So38D_28,600,714,546,1099
So29G_28,2202,1230,2079,1595
So29D_28,840,1229,873,1600
So28G_28,2066,1055,1999,1422
So28D_28,552,1142,598,1516
So24G_28,2121,1159,2023,1509
So24D_28,553,1005,558,1371
So23G_28,1910,1073,1838,1452
So23D_28,775,1012,795,1408
So17G_28,2017,966,2051,1344
So17D_28,500,952,470,1331
So13G_28,2039,991,2045,1382
So13D_28,722,881,631,1262
So43G_28,1916,827,1959,1210
So29D_22,476,832,425,1255
So23G_22,2112,620,2164,1021
So23D_22,549,970,497,1373
So07G_22,1927,958,1939,1336
So07D_22,605,717,496,1070
So05G_22,2239,857,2301,1260
So05D_22,598,1236,659,1635
So01G_22,2005,1234,1962,1624
So01D_22,650,897,637,1299
So29G_22,2242,779,2366,1180
So42D_16,299,1100,259,1567
So31G_16,2342,1006,2379,1496
So31D_16,206,665,143,1161
So28G_16,2319,1016,2403,1483
So28D_16,283,1031,295,1514
So07G_16,2265,888,2356,1324
So07D_16,293,1026,227,1464
So05G_16,2338,1163,2336,1637
So05D_16,352,1017,310,1492
So42G_16,2356,882,2407,1343
