L31G_22,2211,1209,2119,1639
L35D_22,615,621,499,959
L35G_22,2187,1037,2156,1428
L36D_22,631,850,566,1241
L36G_22,2137,1029,2151,1423
L37D_22,460,700,381,1130
L37G_22,2124,643,2226,1059
S05D_16,232,912,199,1415
S05G_16,2275,1238,2167,1704
S07D_16,398,1110,399,1570
S07G_16,2274,1111,2272,1570
S20D_16,506,1289,619,1740
S20G_16,2206,1320,2075,1762
S24D_16,346,850,273,1295
S24G_16,2344,1015,2333,1469
S28D_16,385,1044,379,1485
S28G_16,2268,949,2316,1386
S29D_16,304,1074,304,1522
S29G_16,2095,1214,2035,1654
S33D_16,402,1198,459,1657
S33G_16,2284,918,2339,1373
S35D_16,334,1145,460,1632
S35G_16,2316,1069,2227,1546
S36D_16,372,1084,380,1569
S36G_16,2157,1004,2145,1472
S37D_16,398,1067,451,1522
S37G_16,2294,1156,2210,1594
S40D_16,423,1220,502,1683
S40G_16,2228,1066,2236,1533
S41D_16,402,1011,450,1471
S41G_16,2224,902,2187,1372
S42D_16,234,909,200,1381
S42G_16,2335,1294,2286,1768
S44D_16,358,1046,406,1504
S44G_16,2360,733,2408,1200
S05D_22,568,809,543,1225
S05G_22,2124,932,2147,1355
S07D_22,622,988,569,1376
S08G_22,2203,921,2250,1320
S08D_22,443,830,351,1219
S14D_22,700,1268,760,1648
S14G_22,2297,965,2263,1366
S17G_22,2129,978,2154,1375
S17D_22,552,986,503,1370
S20D_22,502,881,452,1307
S20G_22,2324,714,2374,1137
S24G_22,2158,894,2150,1293
S24D_22,570,828,514,1216
S28D_22,396,871,382,1294
S29D_22,331,837,280,1251
S29G_22,2139,892,2239,1294
S33D_22,492,1034,471,1430
S33G_22,2244,776,2325,1181
S35G_22,2233,1149,2193,1563
S35D_22,506,852,395,1254
S36G_22,2075,1215,2033,1647
S36D_22,502,919,459,1341
S40G_22,2024,894,2083,1300
S40D_22,483,933,433,1342
S42D_22,554,958,507,1374
S42G_22,2142,1036,2162,1460
S44D_22,459,793,372,1211
S44G_22,2272,797,2308,1208
S04G_28,2010,1223,1928,1598
S05D_28,685,1071,686,1442
S05G_28,2061,979,2041,1365
S06G_28,2184,1017,2223,1379
S06D_28,607,1124,598,1477
S08D_28,417,889,366,1250
S08G_28,1960,1190,1913,1543
S14D_28,626,1013,612,1378
S14G_28,2096,1070,2065,1445
S17D_28,661,940,659,1289
